streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal
4HEAD,/4head,2835,297.9,8008,7604,92960,Grand Theft Auto V
Oatley,/oatley,3464,221.3,21683,23658,485564,Fortnite
TwitchRivals,/twitchrivals,8956,17.2,189150,60,2435924,League of Legends
FaZeSway,/fazesway,1815,521.7,16761,27761,1258865,Fortnite
Eray,/eray,9412,11.0,37198,1204,1070266,Just Chatting
ChilledChaos,/chilledchaos,5069,114.8,23613,1495,454981,Among Us
Jordan_Semih,/jordan_semih,6958,53.4,15540,28883,226660,Just Chatting
Skermz,/skermz,4992,117.7,7867,26679,220948,Dead by Daylight
erobb221,/erobb221,4516,141.6,34103,650,465385,Just Chatting
ESL_Dota2Storm,/esl_dota2storm,7534,40.2,69232,3804,200362,Dota 2
watsondoto,/watsondoto,6040,77.1,13872,16273,176788,Dota 2
HutchMF,/hutchmf,4052,168.7,19064,4877,343780,Grand Theft Auto V
Giggand,/giggand,9123,12.5,21051,20967,570699,Grand Theft Auto V
k1ng,/k1ng,7675,35.7,59139,23241,2014507,Fortnite
2okos,/2okos,6700,56.8,48892,18192,198149,Just Chatting
IJenz,/ijenz,1357,716.5,4212,15993,1000040,ASMR
morphe_ya,/morphe_ya,5813,82.1,27554,57480,377964,Just Chatting
MckyTV,/mckytv,4452,140.8,76882,4458,1373454,Fortnite
ボドカさん,/vodkavdk,3676,193.3,31541,11388,490592,VALORANT
dokibird,/dokibird,9238,9.8,10175,16196,99189,Overwatch
C_a_k_e,/c_a_k_e,3600,197.2,43277,5886,407048,Dota 2
烟花蹦蹦蹦,/hennie2001,1516,618.7,7979,3120,116702,Just Chatting
anarabdullaev,/anarabdullaev,5054,107.8,9758,21939,72687,Just Chatting
KamiKat,/kamikat,4115,156.0,18311,8265,698806,League of Legends
twitchmedia80,/twitchmedia80,5347,94.4,6957,26,50,Just Chatting
JokerdTV,/jokerdtv,3233,228.4,308086,1884,309834,World of Warcraft
shuto_fgc,/shuto_fgc,4280,145.2,15606,11791,54308,Street Fighter 6
steel,/steel,6006,71.5,26188,14021,344318,Just Chatting
fl0m,/fl0m,2904,266.0,19873,4157,873158,Counter-Strike
Broxah,/broxah,4674,121.7,19261,6607,512143,League of Legends
Nikolarn,/nikolarn,5384,90.4,81982,1634,562115,Apex Legends
serega_pirat,/serega_pirat,6812,48.0,12446,33892,208407,Dota 2
mL7support,/ml7support,3863,169.0,102052,5445,810624,Overwatch
WillerZ,/willerz,2980,251.4,98285,7638,376091,Escape from Tarkov
IWDominate,/iwdominate,4371,136.1,26774,1413,869960,League of Legends
SoyMotor,/soymotor,5698,78.1,37642,5900,173171,Sports
skill4ltu,/skill4ltu,4054,154.4,19912,3862,322936,World of Tanks
Raxxanterax,/raxxanterax,3000,246.6,16278,16358,226966,Diablo III
TisiSchubech,/tisischubech,5882,71.4,62418,2296,452703,FIFA 23
GMHikaru,/gmhikaru,8024,22.5,76963,3975,1905059,Chess
Sliggytv,/sliggytv,3089,235.4,9864,7384,84904,VALORANT
SidneyEweka,/sidneyeweka,3955,158.7,38511,13651,970780,Just Chatting
Uzra,/uzra,1487,604.6,17392,202,238256,Hearthstone
Michel,/michel,1296,710.0,57475,7051,646517,Counter-Strike
silizvlive,/silizvlive,1400,648.1,2050,59,13954,Virtual Casino
CrystalMolly,/crystalmolly,5228,92.2,16322,21206,681083,League of Legends
kickerEsport,/kickeresport,7452,31.4,19046,127,3947,FIFA 20
Chess,/chess,6839,44.1,139185,3500,1140558,Chess
VALORANT_fr,/valorant_fr,5007,100.7,18907,16041,191794,VALORANT
Michou,/michou,8130,19.1,278994,23591,1694794,Fortnite
heliN139,/helin139,5313,87.3,32908,57761,387665,Counter-Strike
餐餐自由配,/blusewilly_retry,4218,138.7,38259,637,450665,Just Chatting
StankRat_,/stankrat_,3192,218.9,40535,30056,191236,Escape from Tarkov
SmallAnt,/smallant,4350,130.7,22707,13375,1363681,Super Mario Odyssey
한갱,/woohankyung,8810,8.3,52747,868,561448,Just Chatting
AMOURANTH,/amouranth,6957,39.7,67949,-11609,6313696,ASMR
OceaneAmsler,/oceaneamsler,8550,11.6,48140,10182,327612,Just Chatting
vysotzky,/vysotzky,4598,116.7,50297,2713,380313,League of Legends
Spursito,/spursito,7776,23.5,71515,1074,1403013,Just Chatting
Ponce,/ponce,3520,185.9,102442,-1876,796821,Just Chatting
KSPKSP,/kspksp,3330,202.6,12623,2885,150932,Just Chatting
wudijo,/wudijo,2347,332.8,73253,8551,349225,Diablo III
Knut,/knut,3087,225.9,53655,5666,397816,Just Chatting
Insym,/insym,4264,132.2,24271,6106,552855,Phasmophobia
DatModz,/datmodz,2463,309.8,22824,5832,428662,Path of Exile
CYR,/cyr,4551,116.5,66152,3181,626726,Grand Theft Auto V
Codonysus,/codonysus,8674,8.4,26904,-107,500029,Counter-Strike
Staiy,/staiy,4460,120.3,17698,2101,338512,Just Chatting
edizderbreite,/edizderbreite,4751,105.7,16253,17437,285698,Grand Theft Auto V
Dantes,/dantes,3488,183.7,26272,24654,875026,League of Legends
NEEXcsgo,/neexcsgo,3039,227.1,10058,20798,257856,Counter-Strike
Morgpie,/morgpie,4653,109.1,13444,9772,315232,Just Chatting
Jackeyy,/jackeyy,4708,106.1,28436,5138,465606,Grand Theft Auto V
SUJAGG,/sujagg,4448,118.8,35252,25946,1247912,Fortnite
wtcN,/wtcn,7489,25.2,119384,481,2929754,VALORANT
melharucos,/melharucos,3365,191.6,14845,273,424569,Minecraft
valorant_la,/valorant_la,4490,115.5,50960,13796,388035,VALORANT
RealzBlueWater,/realzbluewater,3338,193.6,43644,1236,148226,Among Us
footballbromance,/footballbromance,6257,51.4,18858,4401,88860,Sports
Ssaab,/ssaab,3149,211.6,21843,7804,389538,Grand Theft Auto V
スタンミ,/sutanmi,4018,140.6,20113,7748,331894,League of Legends
Diario_AS,/diario_as,6673,40.3,14952,382,13812,Sports
ElGlogloking,/elglogloking,4731,102.0,11207,28848,291552,Just Chatting
XAROLA_,/xarola_,2674,265.4,20075,10363,271171,VALORANT
Jankos,/jankos,4935,92.7,42426,2060,1307909,League of Legends
mago2dgod,/mago2dgod,3566,170.2,50003,11853,93506,VALORANT
TANZVERBOT,/tanzverbot,5458,72.4,32258,8814,767704,Just Chatting
spkclb,/spkclb,8440,7.5,32637,2400,338679,Grand Theft Auto V
GoodTimesWithScar,/goodtimeswithscar,7444,23.3,28357,14087,495699,Minecraft
MOTHER3rd,/mother3rd,3113,209.1,37974,6003,340237,VALORANT
nl_Kripp,/nl_kripp,2862,236.7,97333,907,1516979,Hearthstone
Ben_,/ben_,3986,138.1,21989,4769,139257,Path of Exile
samueletienne,/samueletienne,4288,120.3,84968,47328,680702,Just Chatting
ゆきお2,/yukiofps14,5310,75.5,31289,2228,183710,Apex Legends
suetam1v4,/suetam1v4,4702,99.3,20202,33580,698070,Fortnite
blackoutz,/blackoutz,1206,709.0,31692,24388,1800877,Fortnite
setsuko,/setsuko,4372,114.1,15395,2860,147617,Teamfight Tactics
SkylineTVlive,/skylinetvlive,5595,64.7,30995,7002,202838,Just Chatting
fifakillvizualz,/fifakillvizualz,2704,252.1,26510,7420,533269,Call of Duty: Warzone
uglyfacekid,/uglyfacekid,4552,104.7,16477,42616,268032,Dota 2
Jay3,/jay3,3522,167.5,17522,11860,646589,Overwatch
JatyLito,/jatylito,4464,108.6,5637,55,55,Casino
Minerva,/minerva,4354,112.0,20300,7641,343647,League of Legends
imorr,/imorr,6289,43.4,22860,7116,290265,Counter-Strike
Psychoghost,/psychoghost,3790,145.1,36017,4165,175762,Hunt: Showdown
KingGothalion,/kinggothalion,3378,175.7,86264,7252,992188,Destiny 2
Levo,/levo,4790,90.8,46921,2447,853219,League of Legends
Grubby,/grubby,2870,225.0,14846,2472,623212,Warcraft III
vei,/vei,6666,33.5,37876,2992,1053333,Just Chatting
고세구___,/gosegugosegu,7304,20.6,36676,607,345034,Just Chatting
pizfn,/pizfn,2957,214.1,24961,7506,740085,Fortnite
xntentacion,/xntentacion,3341,176.1,58570,5416,313628,Just Chatting
超負荷,/sam1268,7585,15.3,18774,1940,188501,League of Legends
RTAinJapan,/rtainjapan,4932,83.2,182595,1603,401488,Games + Demos
TeePee,/teepee,2969,211.5,78741,2508,1019273,Call of Duty: Warzone
Edwin_live,/edwin_live,3826,139.1,44981,2164,481967,Grand Theft Auto V
ESAMarathon,/esamarathon,1189,693.5,35096,2115,290657,Retro
frttt,/frttt,2178,328.0,14717,14173,568205,VALORANT
mafanyatoopeyu,/mafanyatoopeyu,6080,45.7,26606,17450,260153,Just Chatting
dangerlyoha,/dangerlyoha,5971,48.4,20676,14936,841815,Counter-Strike
AvoidingThePuddle,/avoidingthepuddle,4628,94.6,20916,2275,428891,Tekken 7
GENSYXA,/gensyxa,5393,65.4,40832,34201,1188139,Just Chatting
GUACAMOLEMOLLY,/guacamolemolly,5830,52.0,22093,5815,394069,Just Chatting
boxbox,/boxbox,3736,143.3,74768,2634,2114672,Teamfight Tactics
Deansocool,/deansocool,3023,203.2,16455,8781,329981,Grand Theft Auto V
willito,/willito,6374,37.8,22884,12828,204444,Just Chatting
capcomfighters_jp,/capcomfighters_jp,5327,66.4,35064,3348,79617,Street Fighter V
kenaivsouza,/kenaivsouza,3901,131.1,7713,7984,276241,Grand Theft Auto V
LCK_Carry,/lck_carry,4751,87.4,28436,5605,55364,League of Legends
Shotzzy,/shotzzy,4585,94.3,21304,13173,450699,Call of Duty: Warzone
midbeast,/midbeast,3573,151.6,42186,3782,834138,League of Legends
ラプラスダークネス総帥,/laplusdarknesss_hololive,5487,59.4,20748,23292,320233,VALORANT
Zerkaa,/zerkaa,6210,39.5,37875,3686,1484674,Grand Theft Auto V
Kitboga,/kitboga,5856,48.0,44265,1711,1214545,Just Chatting
MeikodRJ,/meikodrj,5156,69.5,24292,7680,721619,Grand Theft Auto V
DaigoTheBeasTV,/daigothebeastv,4992,75.3,55386,5421,405124,Street Fighter V
ヘルアン,/m2_kento_heluan,2049,342.9,9832,6171,37691,Grand Theft Auto V
비챤_,/viichan6,7393,14.7,37845,255,317182,Just Chatting
三人称_ドンピシャ,/sanninshow_3ns,4971,75.7,17871,3005,123822,Apex Legends
TangoTek,/tangotek,6012,42.9,19718,9455,292183,Minecraft
Alderiate,/alderiate,4188,109.5,48159,1971,444808,League of Legends
Scurrows,/scurrows,4710,84.8,16237,3942,211017,Grand Theft Auto V
Bagi,/bagi,4690,85.4,66714,8923,992566,Just Chatting
RybsonLoL_,/rybsonlol_,2270,293.3,42224,5567,318226,League of Legends
Gustavin017,/gustavin017,1108,715.8,1563,138,37573,Virtual Casino
BlackUFA,/blackufa,3756,132.7,18921,1001,380002,Just Chatting
NASA,/nasa,7399,12.6,392939,20857,1250611,Science & Technology
robcdee,/robcdee,3323,163.9,18717,2348,312931,Just Chatting
jingggxd,/jingggxd,4139,109.6,22536,27045,513461,VALORANT
Dhalucard,/dhalucard,2682,229.3,30074,1119,542139,Dead by Daylight
ぺいんと,/peintooon,3123,181.0,18831,12068,216263,Grand Theft Auto V
BurkeBlack,/burkeblack,2706,225.6,15759,9215,321637,Just Chatting
Agraelus,/agraelus,3233,169.5,54289,8245,689577,Just Chatting
주르르,/cotton__123,7198,14.7,35570,203,307120,Just Chatting
alexelcapo,/alexelcapo,3754,130.0,108851,696,1067633,League of Legends
1GO_Casino,/1go_casino,7046,17.2,7085,11,2011,Casino
biyin_,/biyin_,6054,38.1,174435,6841,3168741,VALORANT
deusamir,/deusamir,3634,137.1,10836,24204,179358,Call of Duty: Warzone
Subroza,/subroza,3248,166.6,26866,6779,993120,VALORANT
rootthegamer,/rootthegamer,5690,47.2,44928,3329,135742,Counter-Strike
stariy_bog,/stariy_bog,3964,116.0,34103,13980,195948,Dota 2
RATIRL,/ratirl,4364,94.8,19829,1989,816660,League of Legends
EWROON,/ewroon,4349,95.3,34314,-154,914282,Grand Theft Auto V
NiklasWilson,/niklaswilson,3401,152.8,26307,11990,852911,Just Chatting
RezReel,/rezreel,5860,40.9,36296,278,1106054,ROBLOX
Nissaxter,/nissaxter,4480,87.2,17078,2828,772246,League of Legends
KubaFPS,/kubafps,3167,169.1,20711,9785,252485,VALORANT
TinaKitten,/tinakitten,5197,59.4,54388,11882,1864248,Minecraft
RachtaZ,/rachtaz,2918,192.4,17651,13103,132451,Hunt: Showdown
Aspen,/aspen,3195,165.5,17709,13610,323465,Overwatch
peqitw,/peqitw,5216,58.3,20127,10224,187730,Minecraft
jcorko_,/jcorko_,3024,180.8,34875,23725,703859,Grand Theft Auto V
Dkayed,/dkayed,5970,36.5,21147,1007,209896,Yu-Gi-Oh! Duel Links
FRG_SR,/frg_sr,7129,12.5,7176,5,1282,Casino
SilverName,/silvername,3868,116.1,47383,325,846921,Hearthstone
BadBoyHalo,/badboyhalo,2863,195.4,187142,-1310,2672435,Minecraft
Twitchmedia18,/twitchmedia18,4477,84.9,6061,2,172,Hearthstone
ハイタニ,/haitani0904,4436,86.1,16569,5192,93743,Street Fighter 6
Twitchmedia16,/twitchmedia16,5185,57.6,5747,19,390,Fortnite
MaximusBlack,/maximusblack,2502,237.6,23161,3848,334991,Grand Theft Auto V
Tonton,/tonton,3104,169.8,43194,1146,474446,World of Warcraft
ESL_SC2,/esl_sc2,1049,719.4,57127,3664,392669,StarCraft II
FishAtAce,/fishatace,5241,55.1,5190,3,101,Just Chatting
ade3_3,/ade3_3,3457,140.5,18295,3163,88508,VALORANT
Xayoo_,/xayoo_,6313,26.7,190279,1604,1018856,League of Legends
WELOVEGAMES,/welovegames,3170,163.0,28413,2021,486224,Just Chatting
hitsquadgodfather,/hitsquadgodfather,1043,720.0,3838,1313,122572,Just Chatting
HoneyPuu,/honeypuu,3823,115.4,18028,9044,933307,Just Chatting
Altair,/altair,2935,183.7,11981,1545,107372,Just Chatting
kindalegoat,/kindalegoat,6294,25.9,11989,8286,92331,Just Chatting
GernaderJake,/gernaderjake,2683,210.1,28980,2282,539586,Destiny 2
qlnek,/qlnek,4041,102.2,24731,11279,193751,Fortnite
lol_nemesis,/lol_nemesis,3258,153.0,25820,3661,697025,League of Legends
rubenmartinweb,/rubenmartinweb,4502,79.8,18376,1505,173838,Sports
dota2_paragon_ru3,/dota2_paragon_ru3,5733,38.8,33708,5868,43450,Dota 2
Payo,/payo,2456,238.6,14877,1963,322082,World of Warcraft
Smoke,/smoke,3820,113.7,31955,1772,317491,DayZ
masondota2,/masondota2,3320,147.4,11948,1246,252033,Dota 2
goncho,/goncho,4365,85.4,62766,9626,1332605,Just Chatting
BaityBait,/baitybait,4411,83.3,19859,6326,298781,Just Chatting
湊あくあ_本物,/minatoaquach_hololive,7013,11.2,10084,11178,87073,Palworld
TheMainManSWE,/themainmanswe,3135,162.2,59206,16079,161525,Tekken 7
SolaryHS,/solaryhs,1037,714.2,20855,232,202025,Hearthstone
똘똘똘이_,/jungtaejune,2445,238.6,19685,-213,146016,Just Chatting
keznit1,/keznit1,4509,78.5,21086,10406,375195,VALORANT
byilhann,/byilhann,4511,78.3,23536,48958,383669,Just Chatting
Kaydop,/kaydop,3209,155.1,50600,4079,779037,Rocket League
Zy0xxx,/zy0xxx,4643,72.9,17422,6986,339913,Genshin Impact
MayckonQuerinoCunha,/mayckonquerinocunha,1138,638.6,2994,-1285,4389,Garena Free Fire
LilAggy,/lilaggy,2658,208.7,18687,6916,177586,Sekiro: Shadows Die Twice
c0ker,/c0ker,4683,70.2,8913,14351,333689,Just Chatting
Staryuuki,/staryuuki,3092,162.9,33699,22981,3307663,Just Chatting
Vadeal,/vadeal,3207,153.1,39405,58326,891983,Fortnite
buckefps,/buckefps,3557,127.1,21553,19420,804135,Fortnite
Gladd,/gladd,2154,280.8,116567,670,534548,Destiny 2
dogdog,/dogdog,3965,101.7,31142,-60,641084,Hearthstone
GrenBaud,/grenbaud,3739,114.4,44756,3503,1005636,Just Chatting
DylanteroLIVE,/dylanterolive,5738,35.8,52079,18141,1404176,Just Chatting
KingGeorge,/kinggeorge,2036,302.0,33713,14954,1081055,Tom Clancy's Rainbow Six Siege
Dracon,/dracon,2960,172.9,8762,1181,65454,Just Chatting
Robleis,/robleis,6148,25.7,82090,41464,5765266,Fortnite
CriticalRole,/criticalrole,5084,54.2,212816,5100,1336641,Dungeons & Dragons
rayasianboy,/rayasianboy,3756,112.5,54542,143567,436542,Grand Theft Auto V
파카9999,/paka9999,4057,95.2,47236,367,494677,League of Legends
valorantesports_cn,/valorantesports_cn,4839,61.8,17741,21021,69056,VALORANT
REVENANT,/revenant,3561,123.3,18544,218,464456,Just Chatting
嬌兔,/zrush,2482,223.2,12463,299,261478,Just Chatting
genesisgg_2,/genesisgg_2,6120,24.4,11539,17909,18293,Super Smash Bros. Ultimate
itsSpoit,/itsspoit,4414,76.0,20239,29250,431602,Tom Clancy's Rainbow Six Siege
singsing,/singsing,2716,192.5,24068,85,644045,Dota 2
Nisqyy,/nisqyy,4146,87.7,20429,6139,317847,League of Legends
MrDzinold,/mrdzinold,4132,88.3,23355,22510,562082,Just Chatting
iLame,/ilame,2317,244.4,10780,3836,399676,PUBG: BATTLEGROUNDS
impulseSV,/impulsesv,4984,54.0,9749,11498,342788,Minecraft
1_GO_Casino,/1_go_casino,6928,7.6,7103,1,1277,Casino
ElChiringuitoTV,/elchiringuitotv,2463,222.4,129514,6843,961796,Sports
NickEh30,/nickeh30,3425,128.7,88180,46801,5244105,Fortnite
Doigby,/doigby,4399,75.0,297748,15835,1791260,Fortnite
GagoMS,/gagoms,5557,35.7,29256,11916,256064,Grand Theft Auto V
Ricoy,/ricoy,4316,77.7,57407,406,475741,Rust
renatko,/renatko,4804,58.5,16816,11423,178278,Just Chatting
Squeex,/squeex,3821,101.6,21201,5082,179355,Super Mario 64
KendineMuzisyen,/kendinemuzisyen,6850,7.5,92142,497,2591604,Just Chatting
풍월량,/hanryang1125,2714,187.9,44351,-2320,615979,Just Chatting
Harry,/harry,2313,239.3,20235,1815,165025,Grand Theft Auto V
RebirthzTV,/rebirthztv,2841,173.8,47600,4648,806723,Grand Theft Auto V
StreamerHouse,/streamerhouse,973,720.2,20911,10787,782252,New World
SergioFFerra,/sergiofferra,3317,132.1,22632,6386,174707,VALORANT
CasinoDaddy,/casinodaddy,1594,394.7,17811,1308,201840,Slots
xhocii,/xhocii,4258,77.9,22902,5347,111572,Counter-Strike
metashi12,/metashi12,3512,117.4,38267,1498,208342,World of Warcraft
MataraKan,/matarakan,5837,26.4,44578,7300,180557,Just Chatting
ColtHavok,/colthavok,2816,173.7,9317,12471,224856,Call of Duty: Modern Warfare II
adolfz,/adolfz,4543,65.3,22020,5042,755505,FIFA 22
WDGJAPAN_ow,/wdgjapan_ow,6180,18.5,11126,13082,24798,Overwatch 2
hudson_strms,/hudson_strms,2788,175.9,3094,150,1187,Slots
T2x2,/t2x2,4349,72.9,9567,60282,303433,Just Chatting
aceu,/aceu,3508,116.9,36749,-3259,2904959,Apex Legends
にしのん,/2_nsnn_4,3883,94.5,8895,3753,45359,Grand Theft Auto V
Gssspotted,/gssspotted,3410,122.9,13887,3388,296210,Dota 2
Maximum,/maximum,3155,140.9,161544,109,498144,World of Warcraft
Maghla,/maghla,5459,34.4,36496,10210,903620,Just Chatting
艾怡,/irissiri129,3414,121.4,9396,13559,258410,League of Legends
Grenheir,/grenheir,2324,230.0,14713,8930,218168,Just Chatting
ramzes,/ramzes,5323,37.8,21274,7043,357309,Dota 2
sotibllec,/sotibllec,6699,7.2,8918,2755,105697,Variety
JeefHS,/jeefhs,2335,228.1,4297,4772,34558,Hearthstone
crazyfacetw,/crazyfacetw,3208,135.7,9276,3463,161962,VALORANT
SweeetTails,/sweeettails,6007,20.7,24224,7665,517517,Just Chatting
Sequisha,/sequisha,2241,241.4,58982,1128,396568,Escape from Tarkov
pokimane,/pokimane,6084,18.7,138482,-5049,9333015,Just Chatting
ybicanoooobov,/ybicanoooobov,3543,111.4,24377,1026,669434,Dota 2
Cinderella_TV_,/cinderella_tv_,956,712.5,15311,6845,81171,"Pools, Hot Tubs, and Beaches"
twitchmedia26,/twitchmedia26,5209,40.0,6134,7,192,Just Chatting
noditax19,/noditax19,6729,5.6,8984,10,11,Variety
징버거,/jingburger,6487,9.4,34127,209,310474,Just Chatting
derzko69,/derzko69,4394,66.2,40201,75413,513440,Just Chatting
39daph,/39daph,3680,100.6,44646,-4507,1206114,Art
bruxaofc01,/bruxaofc01,1032,642.9,1986,87,25766,Virtual Casino
sometimepro,/sometimepro,6634,6.3,30022,-372,1049290,VALORANT
GEEGA,/geega,3180,133.6,23866,10217,146148,Just Chatting
Snopey_,/snopey_,3734,97.2,16539,27830,540443,Just Chatting
mazellovvv,/mazellovvv,4872,48.4,18765,12974,1285263,Just Chatting
shanks_ttv,/shanks_ttv,2871,159.0,10221,5103,476452,VALORANT
todomundoptbr,/todomundoptbr,1416,434.9,2179,30381,71929,Just Chatting
Shisheyu_Mayamoto,/shisheyu_mayamoto,3183,131.8,14233,901,129569,The Binding of Isaac: Repentance
Vader,/vader,2477,200.5,36349,1224,462479,Grand Theft Auto V
Cabritoz,/cabritoz,4262,69.8,18307,17313,507361,Just Chatting
FRG_TIPS,/frg_tips,4104,76.4,4764,11,788,Casino
MYM_ALKAPONE,/mym_alkapone,2860,158.0,39163,-254,1153092,Just Chatting
たかやスペシャル,/takayaspecial,2838,160.0,8818,2179,42187,League of Legends
Kyle,/kyle,2505,196.0,28896,-906,517538,Grand Theft Auto V
BobbyPoffGaming,/bobbypoffgaming,1982,276.6,29145,5627,407972,Call of Duty: Warzone
Lobanjicaa,/lobanjicaa,4094,76.3,20952,21492,531449,Counter-Strike
5opka,/5opka,3174,130.4,10482,26362,610231,Just Chatting
番田長助,/banda_chosuke,3110,135.1,29392,9929,109387,Grand Theft Auto V
cindelez,/cindelez,921,719.9,3155,89,491,Variety
aXtLOL,/axtlol,2502,194.9,50764,2148,891982,League of Legends
Lux_Grlx,/lux_grlx,5747,21.7,7110,477,1305,Casino
PlayOverwatch,/playoverwatch,6478,6.6,224005,724,700393,Overwatch
LuanZ7_,/luanz7_,2699,170.9,18383,6643,552366,Grand Theft Auto V
Xop0,/xop0,1042,618.5,7281,29,148362,Just Chatting
KOI,/koi,6314,9.3,51381,267,275876,League of Legends
依渟,/et_1231,2282,220.9,15511,4602,399241,Just Chatting
OniGiri,/onigiri,4156,71.1,18179,10526,193585,Just Chatting
AlphaCast,/alphacast,3095,133.2,52543,1573,621073,Overwatch
FRG_RX,/frg_rx,6055,13.6,6159,4,781,Casino
HusKerrs,/huskerrs,2403,202.4,40962,3593,1184989,Call of Duty: Warzone
LVTHalo,/lvthalo,4378,60.6,25991,3600,66326,Halo Infinite
jujalag,/jujalag,3055,134.6,15879,8261,505410,Just Chatting
Rakin,/rakin,2141,239.2,52992,-1811,1645257,League of Legends
PapeSan,/papesan,4887,42.4,32507,6162,424509,Just Chatting
Genburten,/genburten,2222,226.0,11638,15795,494077,Apex Legends
titanlol1,/titanlol1,5450,26.1,16664,3969,328651,League of Legends
Kxpture,/kxpture,2723,163.4,5501,14725,383831,Call of Duty: Warzone
iskall85,/iskall85,5006,38.2,15856,16821,706844,Minecraft
MesutCanErayy,/mesutcanerayy,4682,48.5,22652,5912,83060,Casino Jackpot
Tomato,/tomato,4021,74.5,9319,539,159204,Minecraft
Popo,/popo,4255,64.2,44378,1107,457703,Just Chatting
Joe_Bartolozzi,/joe_bartolozzi,3487,102.3,15915,25653,1516772,Just Chatting
Lazvell,/lazvell,5417,26.2,28997,4980,332197,VALORANT
gon_vl,/gon_vl,6119,10.3,10898,4529,120028,VALORANT
frametamer666,/frametamer666,4021,73.7,58858,18009,1123565,Just Chatting
LightFuryLF,/lightfurylf,2312,209.7,26832,697,112623,Dota 2
KmSenKangoo,/kmsenkangoo,3795,84.1,30164,10301,485685,Just Chatting
Acie,/acie,2074,245.1,21244,2406,276062,Apex Legends
Felps,/felps,2913,142.1,27059,6170,1454741,Just Chatting
西南69,/kr1stw,2776,154.6,11351,287,69210,Grand Theft Auto V
Twitch,/twitch,5994,11.8,517160,3001,2313963,Talk Shows & Podcasts
哈耿,/ennaouii,3955,74.9,22610,7968,100561,Dead by Daylight
FRG_OL,/frg_ol,3900,77.3,4109,122,1204,Casino
고라니율,/golaniyule0,5020,35.2,16612,6311,316361,Just Chatting
Tixinhadois,/tixinhadois,2126,233.8,39285,8257,465386,VALORANT
Sharkmacedo,/sharkmacedo,3523,97.0,7395,12276,113259,FIFA 21
Strippin,/strippin,2430,190.1,17818,932,329007,League of Legends
FRG_stm,/frg_stm,5983,11.2,7175,5,1281,Casino
tioorochitwitch,/tioorochitwitch,5515,21.5,39634,5854,1512045,Just Chatting
bao,/bao,3174,119.1,22711,12464,505726,Just Chatting
fnmoneymaker,/fnmoneymaker,2754,154.2,18355,98150,508177,Fortnite
Silky,/silky,4655,45.6,16129,3742,439100,Just Chatting
Putupau,/putupau,2387,194.4,21928,2687,440238,Genshin Impact
aspaszin,/aspaszin,5442,22.9,31319,11683,714108,VALORANT
twitchmedia43,/twitchmedia43,5220,28.5,5735,1,72,Dota 2
Deadlyslob,/deadlyslob,2768,152.1,104568,186,413183,Escape from Tarkov
IAM_XQ,/iam_xq,2210,218.5,11601,11713,161183,Overwatch
IQ200YukaF,/iq200yukaf,2537,175.6,9499,10905,140907,Apex Legends
by_Owl,/by_owl,3123,121.6,27558,8454,508201,Just Chatting
猫麦とろろ,/tororo_vtuber,2275,208.2,16031,6130,474544,Escape from Tarkov
orkpod,/orkpod,2787,149.5,10037,4473,240840,World of Warcraft
DVM_Medja,/dvm_medja,3259,111.7,59867,10202,344428,Grand Theft Auto V
aXoZer,/axozer,2217,216.0,557151,19096,2876766,Just Chatting
Santutu,/santutu,5350,24.5,27360,10860,736437,Just Chatting
PimentoIa,/pimentoia,966,639.0,5265,133,10138,Virtual Casino
unsympathisch_tv,/unsympathisch_tv,5364,24.0,37982,4493,1190466,Just Chatting
FRG_RV,/frg_rv,5651,17.0,7097,14,1291,Casino
agustin51,/agustin51,3770,80.8,33345,18422,1054695,Fortnite
MLS,/mls,5971,10.0,63555,483,46245,Sports
VEGETTA777,/vegetta777,4589,46.1,66389,40077,2397695,Counter-Strike
TheRunningManZ,/therunningmanz,2824,144.1,10645,2608,342074,DayZ
SMii7Y,/smii7y,5238,26.4,22668,24056,1268346,Call of Duty: Warzone
Manyrin,/manyrin,3358,102.5,29524,1489,537672,Just Chatting
MrChoco,/mrchoco,2322,197.4,21720,5933,172386,Dota 2
Bawkbasoup,/bawkbasoup,2035,240.8,23018,1137,180654,Resident Evil 3: Nemesis
LCS_Challengers,/lcs_challengers,2939,132.5,187007,3497,352932,League of Legends
ManuuXO,/manuuxo,2862,138.8,11154,4046,312971,Just Chatting
Steelmage,/steelmage,3253,108.4,27882,3651,162933,Path of Exile
FargoBossx,/fargobossx,6079,6.2,6167,6,780,Casino
NAKOO_Fn,/nakoo_fn,2937,131.3,35326,12843,789708,Fortnite
Ebonivon,/ebonivon,4711,39.8,13613,13886,651852,Just Chatting
omie,/omie,3577,87.2,22877,4613,255024,Grand Theft Auto V
ESL_Dota2Earth,/esl_dota2earth,4660,41.1,61604,5116,103564,Dota 2
RTP Arena CS:GO,/rtparenacsgo,2605,161.2,56288,2400,230997,Counter-Strike
TooseFN,/toosefn,3708,79.9,18759,15790,606217,Fortnite
ゆふな,/yufuna,2029,237.9,24456,2030,187703,Apex Legends
mazzatomas,/mazzatomas,3833,73.3,28514,50511,593771,Just Chatting
ととみっくす,/tototmix,2507,170.6,13414,15896,78274,Grand Theft Auto V
UniversoReality_02,/universoreality_02,5602,14.9,11811,2364,36159,Just Chatting
