streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal
elxokas,/elxokas,18464,83.0,1208144,54268,3886303,World of Warcraft
im_mittiii,/im_mittiii,11189,207.2,38681,19201,245477,VALORANT
gabepeixe,/gabepeixe,11643,193.3,101307,28706,1467333,Just Chatting
Ramee,/ramee,11013,210.3,41892,17355,574475,Grand Theft Auto V
sodapoppin,/sodapoppin,12221,169.8,110052,-1143,8886026,World of Warcraft
ElSpreen,/elspreen,20686,51.8,403954,74646,9090372,Just Chatting
ElZeein,/elzeein,7023,366.5,41203,39808,528634,Just Chatting
Warframe,/warframe,27153,12.2,433736,10860,2048254,Warframe
telefe,/telefe,9064,255.5,76912,54310,504751,Just Chatting
bratishkinoff,/bratishkinoff,14305,120.1,146916,37068,2810559,Just Chatting
Jasper7se,/jasper7se,11131,180.8,51453,21030,601228,VALORANT
はんじょう,/hanjoudesu,11935,160.7,30536,14661,244602,Apex Legends
VALORANT_Pacific,/valorant_pacific,18277,66.2,48075,65859,256401,VALORANT
LCS,/lcs,18788,60.4,400429,6008,1970845,League of Legends
Fortnite,/fortnite,19961,49.9,700529,143565,5822051,Fortnite
zubarefff,/zubarefff,22135,34.0,69039,68753,1668095,Just Chatting
IzakOOO,/izakooo,11522,167.2,116805,16100,1928012,Counter-Strike
xCry,/xcry,21965,34.6,606851,47886,3240607,Just Chatting
s1mple,/s1mple,23608,22.9,73680,44685,3695891,Counter-Strike
QuackityToo,/quackitytoo,26341,8.8,140697,9017,4604806,Minecraft
VALORANT_BR,/valorant_br,17166,67.2,150096,28273,726702,VALORANT
Thebausffs,/thebausffs,13076,120.2,47879,11706,1212882,League of Legends
evelone2004,/evelone2004,17858,57.4,56415,26938,727951,Just Chatting
Warcraft,/warcraft,15790,78.4,98596,17805,788503,World of Warcraft
Quackity,/quackity,24593,8.8,381550,14037,6328015,Minecraft
casimito,/casimito,14598,90.6,534644,16805,3819356,Just Chatting
davooxeneize,/davooxeneize,11634,138.8,70524,66404,1759756,Just Chatting
LuquEt4,/luquet4,13515,103.9,111307,16434,1713674,Grand Theft Auto V
Amar,/amar,12588,118.2,183300,47180,1697599,Fortnite
Reborn,/reborn,11112,146.8,113707,36652,2591069,Just Chatting
bySL4M,/bysl4m,11469,138.6,106769,29625,281563,Counter-Strike
rivers_gg,/rivers_gg,16915,57.3,213846,78813,5855149,Just Chatting
CohhCarnage,/cohhcarnage,9625,180.8,70985,8137,1565150,Path of Exile
ExtraEmily,/extraemily,14106,87.5,43132,16619,340705,Just Chatting
iiTzTimmy,/iitztimmy,8711,208.9,138482,29843,2811666,Apex Legends
mrbluwu,/mrbluwu,3348,720.0,15228,7252,65430,Call of Duty: Black Ops 4
Shlorox,/shlorox,4608,490.1,21757,3434,418074,Grand Theft Auto V
Roier,/roier,15589,66.1,300741,26075,2378692,Just Chatting
PirateSoftware,/piratesoftware,8445,215.8,18515,68386,449810,Software and Game Development
knekro,/knekro,9754,170.2,60150,7147,1122822,Just Chatting
AussieAntics,/aussieantics,8704,202.7,43924,53113,1187164,Fortnite
WonBlack_,/wonblack_,23426,5.2,26273,181,18658,VALORANT
VALORANT_EMEA,/valorant_emea,12309,110.0,102377,64996,510178,VALORANT
CR_VanilLa,/cr_vanilla,9988,161.2,21565,22400,202015,Grand Theft Auto V
lolpacifictw,/lolpacifictw,15087,66.5,165491,1512,270846,League of Legends
DjMaRiiO,/djmariio,14231,76.0,91279,54065,1386144,EA Sports FC 24
Elajjaz,/elajjaz,8131,215.4,22282,1797,475454,Dark Souls
shadowkekw,/shadowkekw,14189,70.4,40573,21100,466083,Just Chatting
Recrent,/recrent,7609,222.5,47737,42727,1163696,PUBG: BATTLEGROUNDS
donk1221,/donk1221,21159,8.1,35990,114916,152074,Counter-Strike
NiceWigg,/nicewigg,10369,131.6,71033,12173,773373,Apex Legends
Nikof,/nikof,15928,46.2,49971,12861,627843,Fortnite
YoungMulti,/youngmulti,13200,78.3,33776,21268,1084172,Just Chatting
Bkinho,/bkinho,9818,140.8,33020,21158,245088,Grand Theft Auto V
WarThunder_eSports,/warthunder_esports,17951,26.3,31907,39334,117276,War Thunder
Kyedae,/kyedae,9164,157.6,107583,37045,2728314,VALORANT
Trymacs,/trymacs,11494,102.1,365000,12348,3523921,Fortnite
juanicar_,/juanicar_,18371,21.2,39445,124928,180680,Just Chatting
LVNDMARK,/lvndmark,7761,199.7,165048,12290,1217412,Escape from Tarkov
xRohat,/xrohat,6442,257.8,67456,22512,1004398,Grand Theft Auto V
TcK10,/tck10,7320,213.1,38257,26893,425093,VALORANT
ZeratoR,/zerator,10577,111.5,707071,372,1542225,World of Warcraft
ごっちゃんマイキー,/gocchanmikey,7237,214.0,37372,16315,129313,Grand Theft Auto V
DiarioMARCA,/diariomarca,19283,10.6,121883,177,34189,Sports
pgl_cs2,/pgl_cs2,12391,76.5,174457,39530,429037,Counter-Strike
sasavot,/sasavot,10602,102.9,32938,62331,402984,Dota 2
Simurgh,/simurgh,12635,68.1,47082,3410,1473358,Ashes of Creation
T90Official,/t90official,8070,168.8,63954,9810,249126,Age of Empires II
ironmouse,/ironmouse,7480,187.6,32665,25767,1896406,Just Chatting
JesusAVGN,/jesusavgn,9459,123.8,106667,1989,1761358,Just Chatting
