streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
WonBlack_,/wonblack_,23426,5.2,26273,181,18658,VALORANT,English,2020-08-23,,
VALORANT_EMEA,/valorant_emea,12309,110.0,102377,64996,510178,VALORANT,English,2020-10-23,,
CR_VanilLa,/cr_vanilla,9988,161.2,21565,22400,202015,Grand Theft Auto V,Japanese,2022-12-26,,
lolpacifictw,/lolpacifictw,15087,66.5,165491,1512,270846,League of Legends,Chinese,2020-01-15,,
DjMaRiiO,/djmariio,14231,76.0,91279,54065,1386144,EA Sports FC 24,Spanish,2008-09-24,6192.0,13408
Elajjaz,/elajjaz,8131,215.4,22282,1797,475454,Dark Souls,English,2011-12-20,5712.0,9480.0
shadowkekw,/shadowkekw,14189,70.4,40573,21100,466083,Just Chatting,Russian,2019-10-02,332.0,746.0
Recrent,/recrent,7609,222.5,47737,42727,1163696,PUBG: BATTLEGROUNDS,Russian,2013-01-08,783.0,8486.0
donk1221,/donk1221,21159,8.1,35990,114916,152074,Counter-Strike,Russian,2019-12-03,,
NiceWigg,/nicewigg,10369,131.6,71033,12173,773373,Apex Legends,English,2019-02-12,6384.0,8638.0
Nikof,/nikof,15928,46.2,49971,12861,627843,Fortnite,French,2015-12-21,1752.0,4244.0
YoungMulti,/youngmulti,13200,78.3,33776,21268,1084172,Just Chatting,Polish,2012-02-11,7244.0,10643.0
Bkinho,/bkinho,9818,140.8,33020,21158,245088,Grand Theft Auto V,Portuguese,2017-06-30,,
WarThunder_eSports,/warthunder_esports,17951,26.3,31907,39334,117276,War Thunder,English,2023-02-21,,
Kyedae,/kyedae,9164,157.6,107583,37045,2728314,VALORANT,English,2019-07-03,5161.0,13861.0
Trymacs,/trymacs,11494,102.1,365000,12348,3523921,Fortnite,German,2014-06-14,5294.0,70196.0
juanicar_,/juanicar_,18371,21.2,39445,124928,180680,Just Chatting,Spanish,2019-09-16,,
LVNDMARK,/lvndmark,7761,199.7,165048,12290,1217412,Escape from Tarkov,English,2019-04-03,14221.0,40584.0
xRohat,/xrohat,6442,257.8,67456,22512,1004398,Grand Theft Auto V,German,2019-04-14,3697.0,28918
TcK10,/tck10,7320,213.1,38257,26893,425093,VALORANT,Portuguese,2020-03-16,,
ZeratoR,/zerator,10577,111.5,707071,372,1542225,World of Warcraft,French,2013-03-25,11005.0,56118.0
ごっちゃんマイキー,/gocchanmikey,7237,214.0,37372,16315,129313,Grand Theft Auto V,Japanese,2022-08-18,,
DiarioMARCA,/diariomarca,19283,10.6,121883,177,34189,Sports,Spanish,2020-04-08,,
pgl_cs2,/pgl_cs2,12391,76.5,174457,39530,429037,Counter-Strike,English,2015-11-25,,
sasavot,/sasavot,10602,102.9,32938,62331,402984,Dota 2,Russian,2015-04-21,,
Simurgh,/simurgh,12635,68.1,47082,3410,1473358,Ashes of Creation,English,2012-07-26,,
T90Official,/t90official,8070,168.8,63954,9810,249126,Age of Empires II,English,2015-06-07,10731.0,25722.0
ironmouse,/ironmouse,7480,187.6,32665,25767,1896406,Just Chatting,English,2017-09-29,13956.0,205488.0
JesusAVGN,/jesusavgn,9459,123.8,106667,1989,1761358,Just Chatting,Russian,2012-08-16,3963.0,11175.0
sasatikk,/sasatikk,8198,159.7,41391,9550,327452,Escape from Tarkov,Japanese,2014-07-28,992.0,3372.0
Domingo,/domingo,11404,83.2,204966,4721,1744697,Just Chatting,French,2013-02-05,4533.0,10491.0
NNOPrime,/nnoprime,18217,10.4,38583,3623,84948,League of Legends,German,2022-11-21,,
thek4sen,/thek4sen,18495,8.5,24306,13517,42066,League of Legends,Japanese,2023-10-16,,
AdmiralBahroo,/admiralbahroo,6447,228.8,52399,987,841333,Dead by Daylight,English,2013-03-04,7245.0,57066.0
MartinCirioOk,/martinciriook,14144,42.1,30882,13408,158561,Just Chatting,Spanish,2020-08-01,4419.0,4419.0
forsen,/forsen,7948,160.1,80860,671,1739074,Minecraft,English,2011-05-19,5584.0,16653.0
EAMaddenNFL,/eamaddennfl,17272,13.5,97361,15629,677268,Madden NFL 21,English,2013-11-21,,
Tolkin,/tolkin,6179,235.9,49219,5488,295061,League of Legends,German,2017-11-11,5768.0,10038.0
k3soju,/k3soju,11659,72.3,30882,837,563258,Teamfight Tactics,English,2016-07-02,1334.0,8167.0
AntoineDaniel,/antoinedaniel,10061,101.4,74618,4053,1030000,GeoGuessr,French,2016-09-26,4855.0,8955.0
Rainbow6BR,/rainbow6br,9399,115.5,87521,13258,609012,Tom Clancy's Rainbow Six Siege,Portuguese,2016-08-13,,
柊ツルギ,/hiiragitsurugi,6510,214.9,66755,11443,143629,Grand Theft Auto V,Japanese,2023-09-04,1440.0,1734
betboom_ru2,/betboom_ru2,13059,50.7,70416,14824,132226,Dota 2,Russian,2016-08-14,,
betboom_eng2,/betboom_eng2,13573,43.5,36709,16414,32417,Dota 2,English,2019-03-14,,
Tikyjr,/tikyjr,8320,138.9,34425,15409,170063,League of Legends,French,2015-04-01,,
StRoGo1337,/strogo1337,9648,104.1,54818,94243,572680,Just Chatting,Russian,2021-09-17,1621.0,1673.0
ESL_Dota2Ember,/esl_dota2ember,13786,38.8,148635,4040,599243,Dota 2,English,2013-10-14,0.0,292
Etoiles,/etoiles,8712,125.7,242237,12641,1098560,Just Chatting,French,2015-03-22,3260.0,4539.0
genesisgg,/genesisgg,13994,35.9,45092,36950,42163,Super Smash Bros. Melee,English,2023-11-29,,
stylishnoob4,/stylishnoob4,16343,14.6,112628,1203,1041241,Apex Legends,Japanese,2013-11-02,511.0,9690.0
UniversoReality_EC,/universoreality_ec,5677,248.3,22185,17346,39815,Just Chatting,Spanish,2023-02-03,,
QuickyBaby,/quickybaby,6785,189.6,25201,6190,605398,World of Tanks,English,2012-05-18,2779.0,6400.0
Agent00,/agent00,8738,121.3,128313,31508,1433359,Just Chatting,English,2015-05-04,10423.0,15405
Fanum,/fanum,9891,93.9,45268,67508,1927865,Grand Theft Auto V,English,2016-11-11,10616.0,16504.0
HisWattson,/hiswattson,5624,239.1,21393,23114,692427,Apex Legends,English,2016-05-01,,
juansguarnizo,/juansguarnizo,8427,120.4,409967,4512,11170234,Just Chatting,Spanish,2016-04-11,5196.0,27274.0
Unboxholics,/unboxholics,15571,14.1,63584,2386,453078,Variety,English,2014-08-05,1417.0,2245.0
OverwatchContenders,/overwatchcontenders,16472,6.6,42510,1290,665964,Overwatch,English,2017-05-11,,
rezonfn,/rezonfn,7532,145.1,65422,95112,862453,Fortnite,German,2019-03-09,4517.0,6745.0
yuuri22,/yuuri22,12003,49.6,39242,41654,280524,Just Chatting,Portuguese,2020-03-15,,
BastiGHG,/bastighg,6931,167.1,62507,28009,1720830,Minecraft,German,2012-12-01,10046.0,22988.0
NeVeR_LosEs,/never_loses,7522,144.6,14244,2634,285055,League of Legends,Chinese,2012-04-12,5932.0,9554.0
RRaenee,/rraenee,12591,41.6,25337,31480,1229694,Just Chatting,Turkish,2017-01-18,11221.0,20115.0
HoneyMad,/honeymad,13255,31.7,35127,2793,736094,Just Chatting,Russian,2013-02-13,183.0,6036.0
angryginge13,/angryginge13,7681,134.7,25899,21556,766869,Grand Theft Auto V,English,2020-10-22,10919.0,23166.0
Tubbo,/tubbo,7058,154.4,332671,1270,5243510,Minecraft,English,2018-05-15,13633.0,46845.0
mondo2244,/mondo2244,6477,178.1,26160,7809,198402,Grand Theft Auto V,Japanese,2017-06-02,,
CBLOL,/cblol,8453,110.3,281184,3655,1612424,League of Legends,Portuguese,2012-09-28,,
TenZ,/tenz,13138,31.4,85010,25454,3763957,VALORANT,English,2014-08-30,1186.0,11181.0
Aydan,/aydan,5514,227.5,77954,25006,3069211,Call of Duty: Warzone,English,2016-03-29,4405.0,14021.0
plaqueboymax,/plaqueboymax,8552,107.0,19895,26368,642889,Just Chatting,English,2021-04-06,0.0,8127
m0NESYof,/m0nesyof,16049,5.0,28407,14146,966376,Counter-Strike,Russian,2018-05-05,9.0,812.0
GamerBrother,/gamerbrother,9606,82.4,76709,5081,556696,FIFA 23,German,2016-05-24,,
triiisecta,/triiisecta,15711,6.9,27474,26450,103959,Just Chatting,Spanish,2023-12-09,,
랄로,/aba4647,6706,164.7,57993,1796,686830,League of Legends,Korean,2012-04-09,181.0,1166.0
scump,/scump,8392,108.4,176972,13030,1661474,Call of Duty: Warzone,English,2010-06-17,10193.0,34756.0
Pauleta_Twitch,/pauleta_twitch,8422,107.6,42305,10052,594759,Just Chatting,French,2013-03-18,6149.0,8756.0
PaymoneyWubby,/paymoneywubby,13193,27.6,44403,945,627456,Just Chatting,English,2012-12-06,14136.0,56349.0
NICKMERCS,/nickmercs,10973,55.0,371232,3708,6717545,Fortnite,English,2010-09-13,9160.0,80402.0
ow_uruca,/ow_uruca,6404,172.2,20345,12774,217699,League of Legends,Japanese,2016-10-22,,
brtt,/brtt,5499,218.5,35436,9700,974203,League of Legends,Portuguese,2012-06-20,2594.0,2766.0
Bonjwa,/bonjwa,4750,269.9,33444,336,236538,Just Chatting,German,2014-10-20,,
Coreano,/coreano,4302,305.7,62371,11227,691366,VALORANT,Portuguese,2016-07-06,5435.0,10960.0
PENTA,/penta,6081,183.0,22781,71,360181,Grand Theft Auto V,English,2015-03-04,8939.0,43331.0
GOFNS,/gofns,5550,209.8,25723,31445,224720,VALORANT,English,2014-07-15,,
赤見かるび,/akamikarubi,5956,184.2,43617,13781,440745,VALORANT,Japanese,2020-10-21,,
alondrissa,/alondrissa,8947,85.1,17040,123932,323677,Just Chatting,Spanish,2020-06-08,5651.0,5743
sinatraa,/sinatraa,5339,217.2,45093,11587,1861971,VALORANT,English,2016-10-28,0.0,926.0
LPL,/lpl,9333,76.7,149720,7915,1016391,League of Legends,English,2016-05-16,,
des0ut,/des0ut,6061,177.9,22215,21377,454954,PUBG: BATTLEGROUNDS,Russian,2013-01-08,2169.0,2226.0
H2P_Gucio,/h2p_gucio,6622,150.8,61218,4925,410697,Just Chatting,Polish,2012-10-16,6994.0,9850.0
AsianJeff,/asianjeff,5817,186.5,26787,189619,1394103,Fortnite,English,2018-11-06,5677.0,12044
Flats,/flats,4802,249.0,22525,26539,621500,Overwatch,English,2016-12-07,,
LLA,/lla,10112,59.9,302299,4198,672372,League of Legends,Spanish,2016-12-15,,
橘ひなの,/hinanotachiba7,6256,165.3,29282,15733,421725,VALORANT,Japanese,2020-08-17,,
Leb1ga,/leb1ga,13432,17.1,42350,10826,290306,Just Chatting,Ukrainian,2016-05-29,1002.0,4685.0
esports_rage,/esports_rage,11050,44.7,74276,6525,190895,Apex Legends,Japanese,2020-12-15,,
Northernlion,/northernlion,8845,83.1,50421,6220,651274,Super Auto Pets,English,2010-08-05,4904.0,7358.0
CDawgVA,/cdawgva,8838,82.8,77752,17869,1208658,Just Chatting,English,2013-06-23,2651.0,19226.0
ゆゆうた押忍,/yuyuta0702,5941,176.9,24365,5265,245437,Just Chatting,Japanese,2021-12-15,0.0,2058
Magic,/magic,12160,29.0,125980,4216,466041,Magic: The Gathering,English,2011-12-23,0.0,1243.0
RDjavi,/rdjavi,11084,42.4,22184,32933,685284,Grand Theft Auto V,Spanish,2021-01-14,,
Jolavanille,/jolavanille,6548,148.4,26292,20610,606775,Fortnite,French,2020-08-29,3395.0,6425.0
Llobeti4,/llobeti4,13645,12.8,36212,9745,1565328,Fortnite,Spanish,2016-01-02,1896.0,2539.0
CR_rion,/cr_rion,7312,119.3,36595,8752,221037,VALORANT,Japanese,2017-03-25,,
Lacy,/lacy,5541,189.2,23266,45775,391054,Fortnite,English,2020-02-23,0.0,2270
Zentreya,/zentreya,4994,215.9,25817,10087,480181,Just Chatting,English,2016-07-03,5163.0,12687.0
Grendy,/grendy,7224,114.9,12786,2725,184164,Grand Theft Auto V,Polish,2013-03-30,3577.0,4483.0
ow_esports__,/ow_esports__,10884,38.2,373393,15752,1877886,Overwatch,English,2016-10-20,,
Jinnytty,/jinnytty,5292,193.8,26902,6238,994364,Just Chatting,English,2017-06-08,4539.0,23070.0
mira,/mira,1965,709.2,9522,30646,579203,Just Chatting,English,2015-01-09,424.0,1860.0
Philza,/philza,8468,79.1,162626,-1052,4351186,Minecraft,English,2009-01-11,9735.0,33117.0
Dmitry_Lixxx,/dmitry_lixxx,7022,117.9,31463,22611,1360102,Just Chatting,Russian,2018-01-04,595.0,2269.0
imaqtpie,/imaqtpie,4795,224.1,77541,6371,2582051,League of Legends,English,2011-09-22,1498.0,9693.0
xmerghani,/xmerghani,10631,39.8,27938,14329,537571,Grand Theft Auto V,Polish,2014-07-08,3107.0,9227
VooDooSh,/voodoosh,4654,233.3,52516,6680,359018,Heroes of Might and Magic III: The Restoration of Erathia,Russian,2015-04-04,472.0,19738.0
MaximeBiaggi,/maximebiaggi,10392,42.4,187871,16165,651186,Minecraft,French,2016-03-24,,
LenaGol0vach,/lenagol0vach,7736,94.8,22916,8362,558118,Hearthstone,Russian,2015-04-01,31.0,939.0
老皮,/mobilmobil,6121,147.5,20032,1273,545107,Talk Shows & Podcasts,Chinese,2012-04-04,10132.0,13439.0
Stray228,/stray228,8009,85.7,49312,12069,1571029,Dota 2,Russian,2013-02-19,1436.0,5086.0
TheRealMarzaa,/therealmarzaa,4779,218.7,40183,17371,1457609,Fortnite,Italian,2015-04-26,9955.0,14851.0
skywhywalker,/skywhywalker,8902,65.7,30445,23366,772315,Counter-Strike,Russian,2018-09-01,0.0,209
BUXEXA_str,/buxexa_str,1958,691.6,2988,452,1783,Virtual Casino,Portuguese,2024-01-30,,
RazaH,/razah,4600,230.6,16719,6445,205430,Tom Clancy's Rainbow Six Siege,Portuguese,2014-08-11,4542.0,4542.0
