streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers
JatyLito,/jatylito,4464,108.6,5637,55,55
Minerva,/minerva,4354,112,20300,7641,343647
imorr,/imorr,6289,43.4,22860,7116,290265
Psychoghost,/psychoghost,3790,145.1,36017,4165,175762
KingGothalion,/kinggothalion,3378,175.7,86264,7252,992188
Levo,/levo,4790,90.8,46921,2447,853219
Grubby,/grubby,2870,225,14846,2472,623212
vei,/vei,6666,33.5,37876,2992,1053333
고세구___,/gosegugosegu,7304,20.6,36676,607,345034
pizfn,/pizfn,2957,214.1,24961,7506,740085
xntentacion,/xntentacion,3341,176.1,58570,5416,313628
超負荷,/sam1268,7585,15.3,18774,1940,188501
RTAinJapan,/rtainjapan,4932,83.2,182595,1603,401488
TeePee,/teepee,2969,211.5,78741,2508,1019273
Edwin_live,/edwin_live,3826,139.1,44981,2164,481967
ESAMarathon,/esamarathon,1189,693.5,35096,2115,290657
frttt,/frttt,2178,328,14717,14173,568205
mafanyatoopeyu,/mafanyatoopeyu,6080,45.7,26606,17450,260153
dangerlyoha,/dangerlyoha,5971,48.4,20676,14936,841815
AvoidingThePuddle,/avoidingthepuddle,4628,94.6,20916,2275,428891
GENSYXA,/gensyxa,5393,65.4,40832,34201,1188139
GUACAMOLEMOLLY,/guacamolemolly,5830,52,22093,5815,394069
boxbox,/boxbox,3736,143.3,74768,2634,2114672
Deansocool,/deansocool,3023,203.2,16455,8781,329981
willito,/willito,6374,37.8,22884,12828,204444
capcomfighters_jp,/capcomfighters_jp,5327,66.4,35064,3348,79617
kenaivsouza,/kenaivsouza,3901,131.1,7713,7984,276241
LCK_Carry,/lck_carry,4751,87.4,28436,5605,55364
Shotzzy,/shotzzy,4585,94.3,21304,13173,450699
midbeast,/midbeast,3573,151.6,42186,3782,834138
ラプラスダークネス総帥,/laplusdarknesss_hololive,5487,59.4,20748,23292,320233
Zerkaa,/zerkaa,6210,39.5,37875,3686,1484674
Kitboga,/kitboga,5856,48,44265,1711,1214545
MeikodRJ,/meikodrj,5156,69.5,24292,7680,721619
DaigoTheBeasTV,/daigothebeastv,4992,75.3,55386,5421,405124
ヘルアン,/m2_kento_heluan,2049,342.9,9832,6171,37691
비챤_,/viichan6,7393,14.7,37845,255,317182
三人称_ドンピシャ,/sanninshow_3ns,4971,75.7,17871,3005,123822
TangoTek,/tangotek,6012,42.9,19718,9455,292183
Alderiate,/alderiate,4188,109.5,48159,1971,444808
Scurrows,/scurrows,4710,84.8,16237,3942,211017
Bagi,/bagi,4690,85.4,66714,8923,992566
RybsonLoL_,/rybsonlol_,2270,293.3,42224,5567,318226
Gustavin017,/gustavin017,1108,715.8,1563,138,37573
BlackUFA,/blackufa,3756,132.7,18921,1001,380002
NASA,/nasa,7399,12.6,392939,20857,1250611
robcdee,/robcdee,3323,163.9,18717,2348,312931
jingggxd,/jingggxd,4139,109.6,22536,27045,513461
Dhalucard,/dhalucard,2682,229.3,30074,1119,542139
ぺいんと,/peintooon,3123,181,18831,12068,216263
BurkeBlack,/burkeblack,2706,225.6,15759,9215,321637
Agraelus,/agraelus,3233,169.5,54289,8245,689577
주르르,/cotton__123,7198,14.7,35570,203,307120
alexelcapo,/alexelcapo,3754,130,108851,696,1067633
1GO_Casino,/1go_casino,7046,17.2,7085,11,2011
biyin_,/biyin_,6054,38.1,174435,6841,3168741
deusamir,/deusamir,3634,137.1,10836,24204,179358
Subroza,/subroza,3248,166.6,26866,6779,993120
rootthegamer,/rootthegamer,5690,47.2,44928,3329,135742
stariy_bog,/stariy_bog,3964,116,34103,13980,195948
RATIRL,/ratirl,4364,94.8,19829,1989,816660
EWROON,/ewroon,4349,95.3,34314,-154,914282
NiklasWilson,/niklaswilson,3401,152.8,26307,11990,852911
RezReel,/rezreel,5860,40.9,36296,278,1106054
Nissaxter,/nissaxter,4480,87.2,17078,2828,772246
KubaFPS,/kubafps,3167,169.1,20711,9785,252485
TinaKitten,/tinakitten,5197,59.4,54388,11882,1864248
RachtaZ,/rachtaz,2918,192.4,17651,13103,132451
Aspen,/aspen,3195,165.5,17709,13610,323465
peqitw,/peqitw,5216,58.3,20127,10224,187730
jcorko_,/jcorko_,3024,180.8,34875,23725,703859
Dkayed,/dkayed,5970,36.5,21147,1007,209896
FRG_SR,/frg_sr,7129,12.5,7176,5,1282
SilverName,/silvername,3868,116.1,47383,325,846921
BadBoyHalo,/badboyhalo,2863,195.4,187142,-1310,2672435
Twitchmedia18,/twitchmedia18,4477,84.9,6061,2,172
ハイタニ,/haitani0904,4436,86.1,16569,5192,93743
Twitchmedia16,/twitchmedia16,5185,57.6,5747,19,390
MaximusBlack,/maximusblack,2502,237.6,23161,3848,334991
Tonton,/tonton,3104,169.8,43194,1146,474446
ESL_SC2,/esl_sc2,1049,719.4,57127,3664,392669
FishAtAce,/fishatace,5241,55.1,5190,3,101
ade3_3,/ade3_3,3457,140.5,18295,3163,88508
Xayoo_,/xayoo_,6313,26.7,190279,1604,1018856
WELOVEGAMES,/welovegames,3170,163,28413,2021,486224
hitsquadgodfather,/hitsquadgodfather,1043,720,3838,1313,122572
HoneyPuu,/honeypuu,3823,115.4,18028,9044,933307
Altair,/altair,2935,183.7,11981,1545,107372
kindalegoat,/kindalegoat,6294,25.9,11989,8286,92331
GernaderJake,/gernaderjake,2683,210.1,28980,2282,539586
qlnek,/qlnek,4041,102.2,24731,11279,193751
lol_nemesis,/lol_nemesis,3258,153,25820,3661,697025
rubenmartinweb,/rubenmartinweb,4502,79.8,18376,1505,173838
dota2_paragon_ru3,/dota2_paragon_ru3,5733,38.8,33708,5868,43450
Payo,/payo,2456,238.6,14877,1963,322082
Smoke,/smoke,3820,113.7,31955,1772,317491
masondota2,/masondota2,3320,147.4,11948,1246,252033
goncho,/goncho,4365,85.4,62766,9626,1332605
BaityBait,/baitybait,4411,83.3,19859,6326,298781
湊あくあ_本物,/minatoaquach_hololive,7013,11.2,10084,11178,87073
TheMainManSWE,/themainmanswe,3135,162.2,59206,16079,161525
SolaryHS,/solaryhs,1037,714.2,20855,232,202025
똘똘똘이_,/jungtaejune,2445,238.6,19685,-213,146016
keznit1,/keznit1,4509,78.5,21086,10406,375195
byilhann,/byilhann,4511,78.3,23536,48958,383669
Kaydop,/kaydop,3209,155.1,50600,4079,779037
Zy0xxx,/zy0xxx,4643,72.9,17422,6986,339913
MayckonQuerinoCunha,/mayckonquerinocunha,1138,638.6,2994,-1285,4389
LilAggy,/lilaggy,2658,208.7,18687,6916,177586
c0ker,/c0ker,4683,70.2,8913,14351,333689
Staryuuki,/staryuuki,3092,162.9,33699,22981,3307663
Vadeal,/vadeal,3207,153.1,39405,58326,891983
buckefps,/buckefps,3557,127.1,21553,19420,804135
Gladd,/gladd,2154,280.8,116567,670,534548
dogdog,/dogdog,3965,101.7,31142,-60,641084
GrenBaud,/grenbaud,3739,114.4,44756,3503,1005636
DylanteroLIVE,/dylanterolive,5738,35.8,52079,18141,1404176
KingGeorge,/kinggeorge,2036,302,33713,14954,1081055
Dracon,/dracon,2960,172.9,8762,1181,65454
Robleis,/robleis,6148,25.7,82090,41464,5765266
CriticalRole,/criticalrole,5084,54.2,212816,5100,1336641
rayasianboy,/rayasianboy,3756,112.5,54542,143567,436542
파카9999,/paka9999,4057,95.2,47236,367,494677
valorantesports_cn,/valorantesports_cn,4839,61.8,17741,21021,69056
REVENANT,/revenant,3561,123.3,18544,218,464456
嬌兔,/zrush,2482,223.2,12463,299,261478
genesisgg_2,/genesisgg_2,6120,24.4,11539,17909,18293
itsSpoit,/itsspoit,4414,76,20239,29250,431602
singsing,/singsing,2716,192.5,24068,85,644045
Nisqyy,/nisqyy,4146,87.7,20429,6139,317847
MrDzinold,/mrdzinold,4132,88.3,23355,22510,562082
iLame,/ilame,2317,244.4,10780,3836,399676
impulseSV,/impulsesv,4984,54,9749,11498,342788
1_GO_Casino,/1_go_casino,6928,7.6,7103,1,1277
ElChiringuitoTV,/elchiringuitotv,2463,222.4,129514,6843,961796
NickEh30,/nickeh30,3425,128.7,88180,46801,5244105
Doigby,/doigby,4399,75,297748,15835,1791260
GagoMS,/gagoms,5557,35.7,29256,11916,256064
Ricoy,/ricoy,4316,77.7,57407,406,475741
renatko,/renatko,4804,58.5,16816,11423,178278
Squeex,/squeex,3821,101.6,21201,5082,179355
KendineMuzisyen,/kendinemuzisyen,6850,7.5,92142,497,2591604
풍월량,/hanryang1125,2714,187.9,44351,-2320,615979
Harry,/harry,2313,239.3,20235,1815,165025
RebirthzTV,/rebirthztv,2841,173.8,47600,4648,806723
StreamerHouse,/streamerhouse,973,720.2,20911,10787,782252
SergioFFerra,/sergiofferra,3317,132.1,22632,6386,174707
CasinoDaddy,/casinodaddy,1594,394.7,17811,1308,201840
xhocii,/xhocii,4258,77.9,22902,5347,111572
metashi12,/metashi12,3512,117.4,38267,1498,208342
MataraKan,/matarakan,5837,26.4,44578,7300,180557
ColtHavok,/colthavok,2816,173.7,9317,12471,224856
adolfz,/adolfz,4543,65.3,22020,5042,755505
WDGJAPAN_ow,/wdgjapan_ow,6180,18.5,11126,13082,24798
hudson_strms,/hudson_strms,2788,175.9,3094,150,1187
T2x2,/t2x2,4349,72.9,9567,60282,303433
aceu,/aceu,3508,116.9,36749,-3259,2904959
にしのん,/2_nsnn_4,3883,94.5,8895,3753,45359
Gssspotted,/gssspotted,3410,122.9,13887,3388,296210
Maximum,/maximum,3155,140.9,161544,109,498144
Maghla,/maghla,5459,34.4,36496,10210,903620
艾怡,/irissiri129,3414,121.4,9396,13559,258410
Grenheir,/grenheir,2324,230,14713,8930,218168
ramzes,/ramzes,5323,37.8,21274,7043,357309
sotibllec,/sotibllec,6699,7.2,8918,2755,105697
JeefHS,/jeefhs,2335,228.1,4297,4772,34558
crazyfacetw,/crazyfacetw,3208,135.7,9276,3463,161962
SweeetTails,/sweeettails,6007,20.7,24224,7665,517517
Sequisha,/sequisha,2241,241.4,58982,1128,396568
pokimane,/pokimane,6084,18.7,138482,-5049,9333015
ybicanoooobov,/ybicanoooobov,3543,111.4,24377,1026,669434
Cinderella_TV_,/cinderella_tv_,956,712.5,15311,6845,81171
twitchmedia26,/twitchmedia26,5209,40,6134,7,192
noditax19,/noditax19,6729,5.6,8984,10,11
징버거,/jingburger,6487,9.4,34127,209,310474
derzko69,/derzko69,4394,66.2,40201,75413,513440
39daph,/39daph,3680,100.6,44646,-4507,1206114
bruxaofc01,/bruxaofc01,1032,642.9,1986,87,25766
sometimepro,/sometimepro,6634,6.3,30022,-372,1049290
GEEGA,/geega,3180,133.6,23866,10217,146148
Snopey_,/snopey_,3734,97.2,16539,27830,540443
mazellovvv,/mazellovvv,4872,48.4,18765,12974,1285263
shanks_ttv,/shanks_ttv,2871,159,10221,5103,476452
todomundoptbr,/todomundoptbr,1416,434.9,2179,30381,71929
Shisheyu_Mayamoto,/shisheyu_mayamoto,3183,131.8,14233,901,129569
Vader,/vader,2477,200.5,36349,1224,462479
Cabritoz,/cabritoz,4262,69.8,18307,17313,507361
FRG_TIPS,/frg_tips,4104,76.4,4764,11,788
MYM_ALKAPONE,/mym_alkapone,2860,158,39163,-254,1153092
たかやスペシャル,/takayaspecial,2838,160,8818,2179,42187
Kyle,/kyle,2505,196,28896,-906,517538
BobbyPoffGaming,/bobbypoffgaming,1982,276.6,29145,5627,407972
Lobanjicaa,/lobanjicaa,4094,76.3,20952,21492,531449
5opka,/5opka,3174,130.4,10482,26362,610231
番田長助,/banda_chosuke,3110,135.1,29392,9929,109387
cindelez,/cindelez,921,719.9,3155,89,491
aXtLOL,/axtlol,2502,194.9,50764,2148,891982
Lux_Grlx,/lux_grlx,5747,21.7,7110,477,1305
PlayOverwatch,/playoverwatch,6478,6.6,224005,724,700393
LuanZ7_,/luanz7_,2699,170.9,18383,6643,552366
Xop0,/xop0,1042,618.5,7281,29,148362
KOI,/koi,6314,9.3,51381,267,275876
依渟,/et_1231,2282,220.9,15511,4602,399241
OniGiri,/onigiri,4156,71.1,18179,10526,193585
AlphaCast,/alphacast,3095,133.2,52543,1573,621073
FRG_RX,/frg_rx,6055,13.6,6159,4,781
HusKerrs,/huskerrs,2403,202.4,40962,3593,1184989
LVTHalo,/lvthalo,4378,60.6,25991,3600,66326
jujalag,/jujalag,3055,134.6,15879,8261,505410
Rakin,/rakin,2141,239.2,52992,-1811,1645257
PapeSan,/papesan,4887,42.4,32507,6162,424509
Genburten,/genburten,2222,226,11638,15795,494077
titanlol1,/titanlol1,5450,26.1,16664,3969,328651
Kxpture,/kxpture,2723,163.4,5501,14725,383831
iskall85,/iskall85,5006,38.2,15856,16821,706844
MesutCanErayy,/mesutcanerayy,4682,48.5,22652,5912,83060
Tomato,/tomato,4021,74.5,9319,539,159204
Popo,/popo,4255,64.2,44378,1107,457703
Joe_Bartolozzi,/joe_bartolozzi,3487,102.3,15915,25653,1516772
Lazvell,/lazvell,5417,26.2,28997,4980,332197
gon_vl,/gon_vl,6119,10.3,10898,4529,120028
frametamer666,/frametamer666,4021,73.7,58858,18009,1123565
LightFuryLF,/lightfurylf,2312,209.7,26832,697,112623
KmSenKangoo,/kmsenkangoo,3795,84.1,30164,10301,485685
Acie,/acie,2074,245.1,21244,2406,276062
Felps,/felps,2913,142.1,27059,6170,1454741
西南69,/kr1stw,2776,154.6,11351,287,69210
Twitch,/twitch,5994,11.8,517160,3001,2313963
哈耿,/ennaouii,3955,74.9,22610,7968,100561
FRG_OL,/frg_ol,3900,77.3,4109,122,1204
고라니율,/golaniyule0,5020,35.2,16612,6311,316361
Tixinhadois,/tixinhadois,2126,233.8,39285,8257,465386
Sharkmacedo,/sharkmacedo,3523,97,7395,12276,113259
Strippin,/strippin,2430,190.1,17818,932,329007
FRG_stm,/frg_stm,5983,11.2,7175,5,1281
tioorochitwitch,/tioorochitwitch,5515,21.5,39634,5854,1512045
bao,/bao,3174,119.1,22711,12464,505726
fnmoneymaker,/fnmoneymaker,2754,154.2,18355,98150,508177
Silky,/silky,4655,45.6,16129,3742,439100
Putupau,/putupau,2387,194.4,21928,2687,440238
aspaszin,/aspaszin,5442,22.9,31319,11683,714108
twitchmedia43,/twitchmedia43,5220,28.5,5735,1,72
Deadlyslob,/deadlyslob,2768,152.1,104568,186,413183
IAM_XQ,/iam_xq,2210,218.5,11601,11713,161183
IQ200YukaF,/iq200yukaf,2537,175.6,9499,10905,140907
by_Owl,/by_owl,3123,121.6,27558,8454,508201
猫麦とろろ,/tororo_vtuber,2275,208.2,16031,6130,474544
orkpod,/orkpod,2787,149.5,10037,4473,240840
DVM_Medja,/dvm_medja,3259,111.7,59867,10202,344428
aXoZer,/axozer,2217,216,557151,19096,2876766
Santutu,/santutu,5350,24.5,27360,10860,736437
PimentoIa,/pimentoia,966,639,5265,133,10138
unsympathisch_tv,/unsympathisch_tv,5364,24,37982,4493,1190466
FRG_RV,/frg_rv,5651,17,7097,14,1291
agustin51,/agustin51,3770,80.8,33345,18422,1054695
MLS,/mls,5971,10,63555,483,46245
VEGETTA777,/vegetta777,4589,46.1,66389,40077,2397695
TheRunningManZ,/therunningmanz,2824,144.1,10645,2608,342074
SMii7Y,/smii7y,5238,26.4,22668,24056,1268346
Manyrin,/manyrin,3358,102.5,29524,1489,537672
MrChoco,/mrchoco,2322,197.4,21720,5933,172386
Bawkbasoup,/bawkbasoup,2035,240.8,23018,1137,180654
LCS_Challengers,/lcs_challengers,2939,132.5,187007,3497,352932
ManuuXO,/manuuxo,2862,138.8,11154,4046,312971
Steelmage,/steelmage,3253,108.4,27882,3651,162933
FargoBossx,/fargobossx,6079,6.2,6167,6,780
NAKOO_Fn,/nakoo_fn,2937,131.3,35326,12843,789708
Ebonivon,/ebonivon,4711,39.8,13613,13886,651852
omie,/omie,3577,87.2,22877,4613,255024
ESL_Dota2Earth,/esl_dota2earth,4660,41.1,61604,5116,103564
RTP Arena CS:GO,/rtparenacsgo,2605,161.2,56288,2400,230997
TooseFN,/toosefn,3708,79.9,18759,15790,606217
ゆふな,/yufuna,2029,237.9,24456,2030,187703
mazzatomas,/mazzatomas,3833,73.3,28514,50511,593771
ととみっくす,/tototmix,2507,170.6,13414,15896,78274
UniversoReality_02,/universoreality_02,5602,14.9,11811,2364,36159
Grimmmz,/grimmmz,1884,261.9,26085,4349,1052619
jasontheween,/jasontheween,2888,132.2,8255,11010,234180
oozie,/oozie,1767,285.3,9688,24029,176345
懶貓,/failverde,1469,365.5,24430,3995,285331
The_Happy_Hob,/the_happy_hob,2608,156.9,24909,624,334787
zwebackhd,/zwebackhd,3016,120.5,12161,2033,366582
Aenot,/aenot,2314,190.2,13178,5902,155926
SheefGG,/sheefgg,1776,281.2,47501,8302,128306
maxim,/maxim,2997,121.1,21262,1928,474002
agurin,/agurin,2174,208.9,28222,2539,380530
coscu,/coscu,3566,83.8,425659,2533,3869238
괴물쥐123,/tmxk319,2715,144.5,73569,-51,924349
ElmiilloR,/elmiillor,3317,97.8,47655,105,848644
Im_Dontai,/im_dontai,2991,120.5,46789,6944,1829691
한동숙,/handongsuk,2152,210.7,166223,-1224,656281
Mathil1,/mathil1,2255,195.7,28388,1079,370904
AdmiralBulldog,/admiralbulldog,3187,105.7,56253,-145,788980
betboom_cs_a,/betboom_cs_a,3077,113.4,32978,10012,275266
forg1,/forg1,2012,231.6,46026,1929,202818
AnthonyZ,/anthonyz,2838,131.8,32911,1523,615402
paivinha29,/paivinha29,3008,118,9994,6459,268923
BanduraCartel,/banduracartel,4483,42.6,23581,18291,461350
Limmy,/limmy,3197,104.3,6696,2029,472010
aypierre,/aypierre,3842,68.2,17055,2024,470027
Mortdog,/mortdog,3736,73.1,15598,3087,262457
Pestily,/pestily,3347,94.1,244422,570,1357103
Carola,/carola,3396,91,79320,9905,1724231
Nadia,/nadia,4511,40.8,31095,-2981,1165715
lydiaviolet,/lydiaviolet,4617,37.2,8081,1910,337707
DMITRY_BALE,/dmitry_bale,1967,236.8,15303,4875,129457
Twitchmedia13,/twitchmedia13,4496,40.8,5520,1,152
yeTz,/yetz,2848,127.9,30556,2960,920578
FuuRy_Off,/fuury_off,3365,91.1,17255,14708,307293
ForexNowTV,/forexnowtv,5039,23.6,6119,7,58
TFToddy,/tftoddy,2460,163.8,11484,1416,95797
robinsongz,/robinsongz,3298,93.2,13193,2915,130214
Kaysan,/kaysan,4379,42.8,17550,4836,206119
dota2_paragon_ru4,/dota2_paragon_ru4,4488,39,33634,7227,36489
n3koglai,/n3koglai,5472,11.6,543743,-4511,2595574
Poloteli,/poloteli,2319,177.8,19620,1698,151933
fobm4ster,/fobm4ster,2146,200.3,6022,3418,144058
Giantwaffle,/giantwaffle,2252,184.9,36922,-236,855919
PeachJars,/peachjars,4233,46.3,11770,9608,150514
blau,/blau,2288,179.9,36147,4089,452266
Sabeky,/sabeky,4806,27.5,6559,2,3
unicornio,/unicornio,4554,35,25184,18581,1162378
SKILLZ0R1337,/skillz0r1337,3078,104.2,30904,4929,279320
NBA2KLeague,/nba2kleague,4874,24.5,194136,993,232232
BigBossBoze,/bigbossboze,5050,19.8,13809,3377,326713
一ノ瀬うるは,/uruhaichinose,4171,46.6,11764,5101,236137
HimoHuk,/himohuk,4076,50,3921,6,6
twitchmedia4,/twitchmedia4,4382,38.6,320,0,177
DreadzTV,/dreadztv,2851,118.9,51454,328,698517
Criticas_QLS,/criticas_qls,4431,36.8,30790,6917,292127
spokoynich_,/spokoynich_,4206,44.5,17102,16535,215597
しんじさん,/shinjifromjapanxd,2738,127.5,23665,2428,153744
cameliaaa92,/cameliaaa92,4181,45.1,72957,7966,501266
helydia,/helydia,2758,125.6,6556,57813,318674
PietSmiet,/pietsmiet,3236,90.5,125743,812,788450
さくらみこ,/sakuramiko_hololive,5274,12.4,17284,3918,317322
AlveusSanctuary,/alveussanctuary,783,719.8,11846,7428,165171
接接,/godjj,3881,56.5,23192,148,371924
赤鬼伯伯,/akaonikou1207,3306,85.1,23628,13922,395755
花輪同學,/gearbaby1010,2527,145.6,20543,1407,288095
twitchmedia54,/twitchmedia54,5255,11.9,5693,4,33
JakeWebber69,/jakewebber69,5432,7.9,9032,31834,260047
Cydonia_Chiara,/cydonia_chiara,2875,113.6,19473,2552,166837
twitchmedia6,/twitchmedia6,4715,26,1482,0,208
Alinity,/alinity,2937,108.4,31473,356,1500189
AmazonMusicJP,/amazonmusicjp,5275,11,54680,2004,106069
xbuyeroficial,/xbuyeroficial,5258,11.4,20294,11299,189163
xFibii,/xfibii,2944,107.5,20548,16797,749184
宙星ぱる,/soraposhich,1985,213.1,14639,2993,83916
UncleBjorn,/unclebjorn,2305,167.5,10119,2295,155688
cloakzy,/cloakzy,3374,79.1,67285,-422,2860754
Heideltraut,/heideltraut,1760,253.4,6406,630,182005
Castro_1021,/castro_1021,4044,47.4,180269,435,3726890
Danila_Gorilla,/danila_gorilla,4532,29.9,39820,11367,570483
Hitch,/hitch,3388,77.5,5912,5400,136040
Stoopzz,/stoopzz,2844,113.3,14221,1528,184201
TeamfightTactics,/teamfighttactics,3143,91.6,46863,6190,200846
PRXf0rsakeN,/prxf0rsaken,4831,20.7,19218,13469,589261
NoraExplorer,/noraexplorer,2658,128.1,26204,4218,189891
FitMC,/fitmc,3735,58.8,21494,3633,320292
Dakillzor,/dakillzor,1860,229.7,23643,2481,233684
StaysafeTV,/staysafetv,1816,238,25624,1266,238747
FerretSoftware,/ferretsoftware,762,720,6326,10655,49432
Dekarldent,/dekarldent,3183,87.9,13422,2143,85994
el_yuste,/el_yuste,3009,98.5,26362,1016,174188
MissaSinfonia,/missasinfonia,5268,8.6,89852,3200,4019959
Heroes_Hub,/heroes_hub,2359,156.2,4969,1329,12084
BOOMBURAPA,/boomburapa,3000,98.7,25386,1953,126694
fugu_fps,/fugu_fps,2913,104.5,16632,26816,354184
LityGal,/litygal,3809,53.8,3841,10,10
LCO,/lco,3468,69.9,21322,3245,50269
SPYGEA,/spygea,3639,61.3,60772,1089,609729
Smurf_tv,/smurf_tv,2422,147.7,7863,2242,98079
Xari,/xari,2641,126,53814,-84,408371
FolagorLives,/folagorlives,3187,85.4,57813,75,1602369
PSP1G,/psp1g,1891,219.4,6716,4455,85365
Gosu,/gosu,2990,97.6,24325,5712,2022272
jaystreazy,/jaystreazy,1491,307.2,8371,758,111039
sabrinoca,/sabrinoca,1425,326.3,6249,2336,54818
マクドナルドさん,/light_starboy,3019,95.3,8743,6475,58087
daltoosh,/daltoosh,2139,179.3,30181,1658,763457
소람잉,/sorammmm,4965,13.9,21042,1174,292464
bysTaXx,/bystaxx,3305,76.5,269907,550,2210512
Flight23white,/flight23white,4567,24.7,106892,5856,2173440
Luxy_grlx,/luxy_grlx,5106,9.9,5987,23,785
skain,/skain,2523,133.5,27237,3563,213741
LuluLuvely,/lululuvely,2622,124.2,32590,2590,1337297
Guzu,/guzu,2377,148.4,12172,1594,166303
Wirtual,/wirtual,3876,48,27792,2638,423842
DansGaming,/dansgaming,2260,161.3,58718,162,842271
deepins02,/deepins02,3579,60.6,126995,14675,1602065
けんき,/kenki521,2426,141.9,24977,6231,233712
RaizQT,/raizqt,1461,308.9,15185,3156,202213
Luxury_qq,/luxury_qq,5084,9.5,5176,14,792
maumauzk_ofc,/maumauzk_ofc,4569,23,20226,9940,333241
Closer,/closer,3745,52.4,17070,3922,326624
aikobliss,/aikobliss,1578,276.6,8064,6584,135565
shipbroman,/shipbroman,4177,35.3,13034,18354,188471
TrashTalkFr,/trashtalkfr,5018,10.8,28295,1733,99158
Mynthos,/mynthos,2808,106.4,20056,2064,272216
twitchmedia5,/twitchmedia5,4724,18.1,5554,0,123
Terablade,/terablade,2093,180.4,5128,2383,62717
Move_Mind,/move_mind,2979,93.2,23185,2750,262952
JohnPanio,/johnpanio,5039,9.7,47316,-163,1218260
Fandy,/fandy,2967,93.4,25622,11308,304797
betboom_cs_b,/betboom_cs_b,3009,90.4,54935,6031,181457
Ray,/ray,2881,99.2,26625,902,592596
luchogal_10,/luchogal_10,5136,6.8,6119,11,20
RMCsport,/rmcsport,2337,147.9,147297,30671,389843
anny,/anny,3709,52.1,9650,5062,353349
ZealsAmbitions,/zealsambitions,1935,201.5,26665,1130,289240
しゃるる,/syaruru3,1768,230.4,17787,2436,101507
DisguisedToast,/disguisedtoast,3583,57.5,62896,-1256,2839712
shxtou,/shxtou,3384,66.8,34406,10481,1243564
jLcs2,/jlcs2,4860,12.7,33777,15547,96683
ELoTRiX,/elotrix,2947,92.6,77178,2586,1618951
Luxy_grl,/luxy_grl,4952,9.9,5068,21,794
Ravanha69,/ravanha69,739,698,1261,25,14919
lilsimsie,/lilsimsie,3457,61.8,23436,3691,826289
ale_apoka,/ale_apoka,723,715,25412,5179,333862
Sanchovies,/sanchovies,2075,176.9,15588,1889,379496
SkipNhO,/skipnho,2681,111.7,54389,-104,1283046
OskarWesterlin,/oskarwesterlin,2487,128.5,13976,9147,84980
Thijs,/thijs,2718,108,44931,-331,793568
poderosobagual,/poderosobagual,2192,160.5,21404,14470,407545
Zerost_s,/zerost_s,2086,174,10717,4663,94915
chibidoki,/chibidoki,2445,132,7789,35284,398723
FRG_FFS,/frg_ffs,4930,9.5,5060,2,778
HaiseT,/haiset,2454,130.9,7993,3876,117095
KarmineCorp,/karminecorp,4789,12.8,20406,10550,63896
bbreadman,/bbreadman,2110,169.9,6875,4137,174109
PrimeLeague,/primeleague,2240,153.6,78016,1079,214239
TomateKing,/tomateking,2848,96.8,40012,2656,174202
SypherPK,/sypherpk,2842,97.2,151092,23765,6832707
綠茶,/greentea,1653,246.3,3770,1000,141493
jukes,/jukes,3647,50.8,34974,2398,1833200
DivaJilly,/divajilly,1204,379.3,10310,14131,46866
Frodan,/frodan,2186,158.7,11226,4784,92504
TheJRM_,/thejrm_,2514,123.2,6753,5221,394149
twitchmedia50,/twitchmedia50,4503,19.4,4880,0,122
けっつん,/kettuncyukyuhei,1768,221.1,16680,3015,40585
Chavo8TV,/chavo8tv,706,720.3,1398,13430,102620
casinomomoreis,/casinomomoreis,3668,48.9,6822,7830,83736
akyuliych,/akyuliych,4746,12.5,20979,17135,902186
absoluttlol,/absoluttlol,2015,178.7,11471,1342,153982
carolinekwan,/carolinekwan,2524,120.2,32454,5822,111688
CALCIOBERLIN,/calcioberlin,4493,18.7,13207,2202,87254
CreamTheRabbit,/creamtherabbit,3836,40.9,5896,45,1012840
白波らむね,/ramuneshiranami,2338,137.7,7726,6600,154886
kristinadaniellexo,/kristinadaniellexo,2127,162.3,3580,3718,255444
たここちゃん,/takoko_vtuber,1788,214.1,17518,6591,109413
MauriceWeber,/mauriceweber,2585,113.2,11781,4685,117637
Bugha,/bugha,3261,66.5,84747,29114,5491905
GuDDummit,/guddummit,2213,150.4,8057,1766,72733
Rakyz,/rakyz,2877,89.9,10488,1479,197747
influesii753,/influesii753,4748,10.6,22729,5334,248305
Calebhart42,/calebhart42,1995,178.3,18309,903,212368
RoyalPhunk,/royalphunk,2509,119,23104,1207,277010
AlinaRinRin,/alinarinrin,3442,56.6,28384,9662,363792
MokrySuchar,/mokrysuchar,2511,118,20142,3059,208252
DeraJN,/derajn,2254,143.7,12115,1771,70555
Ilytog,/ilytog,2313,137.2,2992,61,61
Carpentieri,/carpentieri,2390,129.1,6571,5314,143011
Werlyb,/werlyb,2951,83.2,76653,1849,778642
superjj102,/superjj102,2309,137.1,10973,416,164096
paradeev1ch,/paradeev1ch,4874,6.5,81966,3791,1780344
冠緯,/guanweiboy,3113,72.6,34791,507,130423
FarfadoxVEVO,/farfadoxvevo,3244,65.1,80328,9043,1606980
evaanna,/evaanna,2613,107.5,39110,3941,739556
MenosTrece,/menostrece,2567,111.3,47821,3023,1200739
xChocoBars,/xchocobars,2031,170,60017,3199,984883
